time,BTCUSDT_Open,ETHUSDT_Open,SOLUSDT_Open,DOGEUSDT_Open,ADAUSDT_Open,BNBUSDT_Open,LINKUSDT_Open,TRXUSDT_Open,XRPUSDT_Open,USDCUSDT_Open
2023-10-16,27154.14,1557.78,21.93,0.0593,0.2474,209.8,7.422,0.08667,0.4874,0.9999
2023-10-17,28500.77,1599.41,23.95,0.06,0.2514,214.7,7.525,0.08886,0.4977,0.9996
2023-10-18,28395.91,1565.01,23.94,0.05903,0.2464,211.4,7.32,0.08855,0.4911,0.9997
2023-10-19,28320.0,1563.45,23.41,0.05859,0.243,210.3,7.356,0.08914,0.4878,0.9999
2023-10-20,28713.71,1566.57,24.92,0.05887,0.247,211.2,7.304,0.08999,0.5197,0.9996
2023-10-21,29669.05,1603.88,27.02,0.0599,0.2513,212.1,7.57,0.09075,0.515,0.9995
2023-10-22,29909.8,1628.94,29.33,0.06119,0.2587,214.2,8.914,0.0916,0.5208,0.9995
2023-10-23,29992.46,1663.69,29.06,0.06169,0.264,217.8,10.189,0.09032,0.5226,0.9997
2023-10-24,33069.99,1765.47,31.88,0.06742,0.2808,228.6,10.578,0.09219,0.5475,0.9996
2023-10-25,33922.73,1784.98,30.18,0.0666,0.2793,225.2,10.371,0.09235,0.5587,0.9999
2023-10-26,34496.05,1787.15,32.43,0.06832,0.2809,222.1,11.059,0.09351,0.5552,0.9998
2023-10-27,34151.66,1803.39,32.78,0.07184,0.2871,223.2,10.927,0.09285,0.5534,0.9999
2023-10-28,33892.01,1779.41,31.73,0.06776,0.2893,224.2,11.184,0.09352,0.543,0.9999
2023-10-29,34081.01,1776.21,31.62,0.069,0.2909,225.7,10.923,0.09434,0.5446,0.9998
2023-10-30,34525.88,1795.14,32.83,0.06936,0.2955,227.1,11.085,0.09489,0.556,0.9997
2023-10-31,34474.74,1809.03,34.94,0.06958,0.3031,228.0,11.22,0.09558,0.578,0.9996
2023-11-01,34639.78,1814.67,38.41,0.06827,0.2929,226.3,11.352,0.09715,0.5995,0.9996
2023-11-02,35421.43,1846.99,41.16,0.06893,0.3072,228.0,11.639,0.10014,0.6084,0.9996
2023-11-03,34941.58,1800.79,40.24,0.0679,0.3231,231.9,11.007,0.09921,0.6053,0.9998
2023-11-04,34716.78,1832.7,39.45,0.06808,0.3291,230.3,11.457,0.09722,0.612,0.9996
2023-11-05,35062.06,1855.54,42.41,0.06908,0.3278,237.2,11.496,0.09766,0.6149,0.9994
2023-11-06,35011.89,1891.71,41.16,0.07108,0.3419,244.0,12.231,0.09808,0.6606,0.9994
2023-11-07,35046.09,1900.95,42.16,0.07637,0.3624,255.1,12.984,0.09765,0.7147,0.9998
2023-11-08,35399.13,1885.26,42.93,0.07338,0.3512,246.2,13.04,0.09657,0.6851,0.9996
2023-11-09,35624.72,1888.11,43.12,0.07535,0.3577,246.7,14.918,0.09833,0.6869,0.9997
2023-11-10,36701.1,2121.33,45.3,0.07357,0.3685,251.7,14.603,0.0989,0.6667,0.9999
2023-11-11,37301.63,2077.72,56.67,0.07539,0.386,251.1,15.502,0.10621,0.6594,0.9995
2023-11-12,37129.99,2053.16,56.36,0.0785,0.3844,251.6,16.477,0.10801,0.6626,0.9998
2023-11-13,37064.13,2044.69,56.27,0.07795,0.3835,247.5,16.025,0.1085,0.6612,0.9994
2023-11-14,36462.93,2053.65,51.6,0.07456,0.3568,241.1,14.354,0.10688,0.6701,0.9998
2023-11-15,35551.2,1979.4,56.81,0.07244,0.3579,242.3,13.947,0.10222,0.6296,0.9998
2023-11-16,37858.2,2058.49,65.43,0.07623,0.3787,253.7,15.027,0.10406,0.6482,0.9996
2023-11-17,36163.51,1961.77,57.81,0.07946,0.3707,242.7,13.866,0.10234,0.6118,0.9999
2023-11-18,36613.91,1960.82,58.52,0.08642,0.3671,244.9,13.707,0.10371,0.6132,0.9997
2023-11-19,36568.11,1962.59,58.56,0.08027,0.3771,244.8,13.751,0.10291,0.6106,0.9995
2023-11-20,37359.85,2011.47,61.1,0.08045,0.384,246.5,14.911,0.10349,0.6258,0.9995
2023-11-21,37448.79,2021.41,56.57,0.07768,0.3803,253.1,14.475,0.10097,0.6121,0.9993
2023-11-22,35741.65,1933.01,51.65,0.07175,0.3566,225.5,13.362,0.09611,0.5787,0.9996
2023-11-23,37408.35,2063.22,57.55,0.07576,0.3805,236.2,14.213,0.10116,0.6109,0.9998
2023-11-24,37294.27,2062.21,56.52,0.07621,0.3872,233.8,14.398,0.10208,0.6208,0.9999
2023-11-25,37713.57,2080.84,56.86,0.07818,0.3862,232.8,14.481,0.10456,0.6212,0.9992
2023-11-26,37780.67,2083.1,58.81,0.07894,0.3942,234.5,14.763,0.10894,0.6228,0.9995
2023-11-27,37447.42,2062.34,57.57,0.07867,0.3874,231.8,14.768,0.10779,0.6157,0.9997
